pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-07 10:19:00+00:00,2022-09-07 10:25:00+00:00,0.86,9.9,243,243,2,6.0,8.6
2022-09-07 11:15:00+00:00,2022-09-07 11:30:00+00:00,1.2,9.9,106,181,2,15.0,4.8
2022-09-07 11:48:00+00:00,2022-09-07 11:53:00+00:00,0.71,9.9,159,168,2,5.0,8.52
2022-09-07 14:05:00+00:00,2022-09-07 14:09:00+00:00,0.69,9.9,7,146,2,4.0,10.35
2022-09-07 15:51:00+00:00,2022-09-07 15:57:00+00:00,0.57,9.9,173,93,2,6.0,5.699999999999999
2022-09-07 20:52:00+00:00,2022-09-07 20:58:00+00:00,1.14,9.9,40,25,2,6.0,11.4
2022-09-08 10:35:00+00:00,2022-09-08 10:40:00+00:00,5.71,9.9,166,41,2,5.0,68.52000000000001
2022-09-08 10:39:00+00:00,2022-09-08 10:44:00+00:00,1.11,9.9,166,24,2,5.0,13.320000000000002
2022-09-08 11:29:00+00:00,2022-09-08 11:32:00+00:00,0.6,9.9,166,166,2,3.0,11.999999999999998
2022-09-08 12:22:00+00:00,2022-09-08 12:31:00+00:00,1.31,9.9,42,116,2,9.0,8.733333333333334
2022-09-08 12:41:00+00:00,2022-09-08 12:44:00+00:00,0.58,9.9,196,82,2,3.0,11.599999999999998
2022-09-08 13:34:00+00:00,2022-09-08 13:46:00+00:00,1.61,9.9,41,75,2,12.0,8.05
2022-09-08 14:57:00+00:00,2022-09-08 15:04:00+00:00,1.4,9.9,166,116,2,7.0,11.999999999999998
2022-09-08 19:28:00+00:00,2022-09-08 19:38:00+00:00,1.29,9.9,25,106,2,10.0,7.74
2022-09-08 20:55:00+00:00,2022-09-08 21:01:00+00:00,1.11,9.9,41,166,2,6.0,11.1
2022-09-08 21:10:00+00:00,2022-09-08 21:17:00+00:00,0.88,9.9,166,41,2,7.0,7.542857142857143
2022-09-09 07:13:00+00:00,2022-09-09 07:21:00+00:00,1.22,9.9,41,24,2,8.0,9.15
2022-09-09 07:25:00+00:00,2022-09-09 07:30:00+00:00,1.07,9.9,7,223,2,5.0,12.840000000000002
2022-09-09 08:40:00+00:00,2022-09-09 08:48:00+00:00,1.46,9.9,116,166,2,8.0,10.95
2022-09-09 10:48:00+00:00,2022-09-09 10:56:00+00:00,1.13,9.9,166,152,2,8.0,8.475
2022-09-09 11:05:00+00:00,2022-09-09 11:16:00+00:00,0.88,9.9,193,146,2,11.0,4.800000000000001
2022-09-09 12:37:00+00:00,2022-09-09 12:46:00+00:00,1.14,9.9,243,244,2,9.0,7.6
2022-09-09 13:08:00+00:00,2022-09-09 13:15:00+00:00,0.86,9.9,152,166,2,7.0,7.371428571428571
